type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
TRANSFER,574748.85,C2141567696,106088.0,0.0,C883779624,0.0,574748.85,0
CASH_IN,21118.84,C696392496,10500000.0,10500000.0,C1021427324,2689219.94,2668101.1,0
CASH_IN,26551.78,C243566485,20562.93,47114.71,C1585728667,0.0,0.0,0
PAYMENT,7819.09,C662848077,0.0,0.0,M1063211872,0.0,0.0,0
CASH_OUT,312914.21,C2100965538,0.0,0.0,C1140936910,1310916.68,1623830.88,0
PAYMENT,2749.51,C852772114,24543.0,21793.49,M1607889410,0.0,0.0,0
CASH_IN,208788.95,C195088967,129823.0,338611.95,C476548973,39803.57,0.0,0
PAYMENT,3407.82,C1587889934,2965.0,0.0,M1983818863,0.0,0.0,0
CASH_OUT,398092.27,C1137502794,508.0,0.0,C474223679,0.0,398092.27,0
CASH_OUT,110892.74,C1904708954,25623.0,0.0,C2082673402,0.0,218486.67,0
PAYMENT,2461.88,C77976157,0.0,0.0,M161976259,0.0,0.0,0
CASH_OUT,140561.67,C1352093240,0.0,0.0,C716709966,1254764.65,1395326.32,0
CASH_OUT,16598.42,C2013487467,0.0,0.0,C1114116995,431289.61,447888.03,0
CASH_OUT,86963.36,C1210937103,0.0,0.0,C608216009,1591535.7,1678499.06,0
PAYMENT,10664.82,C572351987,205372.0,194707.18,M1412836991,0.0,0.0,0
CASH_OUT,178199.71,C1633531777,0.0,0.0,C385885112,1547115.15,1725314.86,0
CASH_OUT,20900.6,C137348861,59933.0,39032.4,C1039260789,561582.12,582482.71,0
PAYMENT,8257.82,C1092718071,42156.0,33898.18,M577434833,0.0,0.0,0
PAYMENT,21120.64,C2082280255,182553.31,161432.67,M1017404097,0.0,0.0,0
CASH_IN,187704.73,C76765702,381817.7,569522.43,C808880569,471031.16,283326.42,0
CASH_OUT,301671.23,C118328881,50672.56,0.0,C1177736855,4431036.68,4732707.91,0
PAYMENT,13803.27,C450589421,90964.47,77161.2,M1511670186,0.0,0.0,0
